"sequence","support","pattern"
"<{T,F}>",0.00322742895464834,2
"<{E},{A},{H}>",0.00322742895464834,3
"<{B},{F},{C}>",0.00322742895464834,3
"<{M},{A},{F},{T}>",0.00321345740073211,4
"<{K},{T},{H}>",0.00321345740073211,3
"<{K},{M},{F}>",0.00318551429289966,3
"<{A},{H},{M}>",0.00317154273898343,3
"<{A},{K},{C}>",0.00317154273898343,3
"<{H},{F},{A}>",0.00317154273898343,3
"<{E},{M},{S}>",0.0031575711850672,3
"<{B},{T},{M}>",0.0031575711850672,3
"<{A},{F},{I}>",0.00314359963115098,3
"<{E},{T},{B}>",0.00314359963115098,3
"<{C},{T},{G}>",0.00312962807723475,3
"<{M},{K},{S}>",0.00311565652331852,3
"<{C},{E},{S}>",0.00311565652331852,3
"<{M},{C},{T},{F}>",0.0031016849694023,4
"<{P},{C}>",0.0031016849694023,2
"<{H},{A},{F}>",0.00308771341548607,3
"<{M},{A},{T},{C}>",0.00308771341548607,4
"<{C},{A},{U}>",0.00307374186156984,3
"<{H},{A},{T}>",0.00307374186156984,3
"<{A},{H},{S}>",0.00307374186156984,3
"<{C},{D},{T}>",0.00305977030765362,3
